StartSplit,StartScore,StopSplit,StopScore,SplitSize,PathLength
{ 2 9 },-0.0207069,{ 2 3 },-0.0236405,2,1
{ 0 5 8 9 },-0.0162052,{ 2 3 5 6 },-0.0254904,4,3
{ 0 3 6 7 },-0.0154734,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 2 6 9 },-0.0176889,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 4 5 6 },-0.0175359,{ 2 3 5 6 },-0.0254904,4,3
{ 0 1 2 },-0.0178478,{ 4 7 8 },-0.025536,3,3
{ 0 4 8 9 },-0.0185609,{ 0 4 7 8 },-0.0255352,4,1
{ 3 7 8 9 },-0.017867,{ 0 4 7 8 },-0.0255352,4,2
{ 5 8 9 },-0.0168511,{ 5 6 9 },-0.023584,3,1
{ 0 1 5 6 },-0.0188584,{ 2 3 5 6 },-0.0254904,4,3
{ 0 6 },-0.0146898,{ 5 6 },-0.0245457,2,1
{ 0 2 4 6 },-0.0160781,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 2 5 8 },-0.0168251,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 2 3 8 },-0.0169503,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 6 7 8 },-0.0166356,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 5 6 },-0.0188729,{ 5 6 9 },-0.023584,3,1
{ 0 2 6 7 9 },-0.0161013,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 6 7 },-0.0174547,{ 4 7 8 },-0.025536,3,1
{ 0 1 3 },-0.0177518,{ 4 7 8 },-0.025536,3,3
{ 2 5 7 9 },-0.0178496,{ 2 3 5 6 },-0.0254904,4,2
{ 0 5 6 7 9 },-0.0175596,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 5 7 8 9 },-0.0170984,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 4 },-0.0154945,{ 2 3 },-0.0236405,2,1
{ 0 2 4 6 8 },-0.0163707,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 3 7 8 },-0.0185277,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 2 5 9 },-0.018029,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 6 8 9 },-0.0180729,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 2 4 5 },-0.0173557,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 5 6 8 },-0.0188979,{ 2 3 5 6 },-0.0254904,4,1
{ 3 4 7 9 },-0.0169631,{ 0 4 7 8 },-0.0255352,4,2
{ 2 8 9 },-0.0170191,{ 2 3 9 },-0.0237436,3,1
{ 1 5 6 7 },-0.0172654,{ 2 3 5 6 },-0.0254904,4,3
{ 0 5 6 7 8 },-0.0180906,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 2 4 6 7 },-0.0165038,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 4 5 },-0.0165142,{ 5 6 9 },-0.023584,3,2
{ 0 1 3 4 9 },-0.017882,{ 0 1 4 7 8 },-0.0285387,5,2
{ 6 7 8 },-0.0184776,{ 4 7 8 },-0.025536,3,1
{ 0 1 2 8 },-0.018512,{ 0 4 7 8 },-0.0255352,4,2
{ 0 2 3 5 8 },-0.0166997,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 2 4 6 9 },-0.0166335,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 4 6 7 9 },-0.0166347,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 4 6 8 },-0.0179061,{ 0 4 7 8 },-0.0255352,4,2
{ 0 3 4 5 7 },-0.0160342,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 3 4 9 },-0.0165407,{ 2 3 5 6 },-0.0254904,4,3
{ 0 1 3 9 },-0.0178615,{ 2 3 5 6 },-0.0254904,4,3
{ 2 3 5 7 },-0.0186145,{ 2 3 5 6 },-0.0254904,4,1
{ 0 2 5 7 },-0.015985,{ 2 3 5 6 },-0.0254904,4,2
{ 1 3 4 5 },-0.0157794,{ 2 3 5 6 },-0.0254904,4,2
{ 0 2 7 8 9 },-0.0172298,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 2 3 4 },-0.0173497,{ 2 3 5 6 },-0.0254904,4,3
{ 4 6 },-0.0152897,{ 5 6 },-0.0245457,2,1
{ 3 6 },-0.0197136,{ 5 6 },-0.0245457,2,1
{ 7 8 9 },-0.0189482,{ 4 7 8 },-0.025536,3,1
{ 3 4 6 9 },-0.0181846,{ 2 3 5 6 },-0.0254904,4,2
{ 1 4 9 },-0.0166817,{ 4 7 8 },-0.025536,3,4
{ 0 7 },-0.0198559,{ 7 8 },-0.0250616,2,1
{ 0 1 7 9 },-0.0188444,{ 0 4 7 8 },-0.0255352,4,2
{ 0 2 3 4 8 },-0.0176268,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 5 9 },-0.0172151,{ 5 6 9 },-0.023584,3,1
{ 0 1 4 6 },-0.01846,{ 0 4 7 8 },-0.0255352,4,2
{ 4 5 },-0.0156293,{ 5 6 },-0.0245457,2,1
{ 2 4 8 9 },-0.0171705,{ 0 4 7 8 },-0.0255352,4,2
{ 3 4 8 },-0.017854,{ 4 7 8 },-0.025536,3,1
{ 4 5 8 },-0.01758,{ 4 7 8 },-0.025536,3,1
{ 0 4 5 },-0.0167691,{ 4 7 8 },-0.025536,3,4
{ 1 3 4 8 },-0.0181672,{ 0 4 7 8 },-0.0255352,4,2
{ 0 2 3 6 8 },-0.0166313,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 6 9 },-0.0217118,{ 2 3 9 },-0.0237436,3,1
{ 0 2 5 7 8 },-0.0166976,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 4 6 },-0.0164037,{ 5 6 9 },-0.023584,3,2
{ 0 3 7 9 },-0.0162694,{ 2 3 5 6 },-0.0254904,4,3
{ 0 4 9 },-0.0167441,{ 4 7 8 },-0.025536,3,4
{ 0 2 4 5 8 },-0.0162995,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 2 5 8 },-0.0157109,{ 2 3 5 6 },-0.0254904,4,2
